C-ERVZEITPUNKT3-0;C-ERVAMSTVORHER4-0;C-ERVAMST4-0;C-ERVAGE5-0;C-ERVSEX1-0;F-ERV_STAT_HAUPT
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-40;ERVEXTAMST4-50;ERVEXTAGE5-65;2;1
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-40;ERVEXTAMST4-90;ERVEXTAGE5-15;1;6773
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-40;ERVEXTAMST4-90;ERVEXTAGE5-15;2;4216
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-40;ERVEXTAMST4-90;ERVEXTAGE5-65;1;32331
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-40;ERVEXTAMST4-90;ERVEXTAGE5-65;2;37912
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-50;ERVEXTAMST4-10;ERVEXTAGE5-15;1;142632
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-50;ERVEXTAMST4-10;ERVEXTAGE5-15;2;188316
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-50;ERVEXTAMST4-10;ERVEXTAGE5-65;1;1
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-50;ERVEXTAMST4-10;ERVEXTAGE5-65;2;3
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-50;ERVEXTAMST4-30;ERVEXTAGE5-15;1;13849
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-50;ERVEXTAMST4-30;ERVEXTAGE5-15;2;13438
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-50;ERVEXTAMST4-30;ERVEXTAGE5-65;1;1
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-50;ERVEXTAMST4-40;ERVEXTAGE5-15;1;43
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-50;ERVEXTAMST4-40;ERVEXTAGE5-15;2;60
ERVEXTZEITPUNKT3-2011;ERVEXTAMST4-50;ERVEXTAMST4-40;ERVEXTAGE5-65;1;4
